,total_word_idx,text_id,sent_id_and_idx,word_idx,word,processed_word
4198,149,1,8,16,his,he
4199,150,1,8,17,ceremonies.,ceremony
4200,151,1,9,1,Janus,janus
4201,152,1,9,2,represented,represent
4202,153,1,9,3,the,the
4203,154,1,9,4,middle,middle
4204,155,1,9,5,ground,ground
4205,156,1,9,6,between,between
4206,157,1,9,7,barbarism,barbarism
4207,158,1,9,8,and,and
4208,159,1,9,9,"civilization,",civilization
4209,160,1,9,10,rural,rural
4210,161,1,9,11,and,and
4211,162,1,9,12,urban,urban
4212,163,1,9,13,"space,",space
4213,164,1,9,14,youth,youth
4214,165,1,9,15,and,and
4215,166,1,9,16,adulthood.,adulthood
4216,167,1,10,1,The,the
4217,168,1,10,2,ancient,ancient
4218,169,1,10,3,Greeks,greek
4219,170,1,10,4,had,have
4220,171,1,10,5,no,no
4221,172,1,10,6,equivalent,equivalent
4222,173,1,10,7,to,to
4223,174,1,10,8,"Janus,",janus
4224,175,1,10,9,whom,whom
4225,176,1,10,10,the,the
4226,177,1,10,11,Romans,romans
4227,178,1,10,12,claimed,claim
4228,179,1,10,13,as,as
4229,180,1,10,14,distinctively,distinctively
4230,181,1,10,15,their,they
4231,182,1,10,16,own.,own
4232,1,2,11,1,The,the
4233,2,2,11,2,shaka,shaka
4234,3,2,11,3,"sign,",sign
4235,4,2,11,4,sometimes,sometimes
4236,5,2,11,5,known,know
4237,6,2,11,6,as,as
4238,7,2,11,7,"""hang",hang
4239,8,2,11,8,"loose"",",loose
4240,9,2,11,9,is,be
4241,10,2,11,10,a,a
4242,11,2,11,11,gesture,gesture
4243,12,2,11,12,of,of
4244,13,2,11,13,friendly,friendly
4245,14,2,11,14,intent,intent
4246,15,2,11,15,often,often
4247,16,2,11,16,associated,associate
4248,17,2,11,17,with,with
4249,18,2,11,18,Hawaii,hawaii
4250,19,2,11,19,and,and
4251,20,2,11,20,surf,surf
4252,21,2,11,21,culture.,culture
4253,22,2,12,1,The,the
4254,23,2,12,2,gesture,gesture
4255,24,2,12,3,is,be
4256,25,2,12,4,made,make
4257,26,2,12,5,by,by
4258,27,2,12,6,extending,extend
4259,28,2,12,7,the,the
4260,29,2,12,8,thumb,thumb
4261,30,2,12,9,and,and
4262,31,2,12,10,smallest,small
4263,32,2,12,11,finger,finger
4264,33,2,12,12,while,while
4265,34,2,12,13,holding,hold
4266,35,2,12,14,the,the
4267,36,2,12,15,three,three
4268,37,2,12,16,middle,middle
4269,38,2,12,17,fingers,finger
4270,39,2,12,18,curled,curl
4271,40,2,12,19,and,and
4272,41,2,12,20,gesturing,gesture
4273,42,2,12,21,in,in
4274,43,2,12,22,salutation,salutation
4275,44,2,12,23,while,while
4276,45,2,12,24,presenting,present
4277,46,2,12,25,the,the
4278,47,2,12,26,front,front
4279,48,2,12,27,or,or
4280,49,2,12,28,back,back
4281,50,2,12,29,of,of
4282,51,2,12,30,the,the
4283,52,2,12,31,hand;,hand
4284,53,2,12,32,the,the
4285,54,2,12,33,hand,hand
4286,55,2,12,34,may,may
4287,56,2,12,35,be,be
4288,57,2,12,36,rotated,rotate
4289,58,2,12,37,back,back
4290,59,2,12,38,and,and
4291,60,2,12,39,forth,forth
4292,61,2,12,40,for,for
4293,62,2,12,41,emphasis.,emphasis
4294,63,2,13,1,The,the
4295,64,2,13,2,shaka,shaka
4296,65,2,13,3,sign,sign
4297,66,2,13,4,was,be
4298,67,2,13,5,adopted,adopt
4299,68,2,13,6,from,from
4300,69,2,13,7,local,local
4301,70,2,13,8,Hawaiian,hawaiian
4302,71,2,13,9,culture,culture
4303,72,2,13,10,and,and
4304,73,2,13,11,customs,custom
4305,74,2,13,12,by,by
4306,75,2,13,13,visiting,visit
4307,76,2,13,14,surfers,surfer
4308,77,2,13,15,in,in
4309,78,2,13,16,the,the
4310,79,2,13,17,"1960s,",1960
4311,80,2,13,18,and,and
4312,81,2,13,19,its,its
4313,82,2,13,20,use,use
4314,83,2,13,21,has,have
4315,84,2,13,22,spread,spread
4316,85,2,13,23,around,around
4317,86,2,13,24,the,the
4318,87,2,13,25,world.,world
4319,88,2,14,1,It,it
4320,89,2,14,2,is,be
4321,90,2,14,3,primarily,primarily
4322,91,2,14,4,used,use
4323,92,2,14,5,as,as
4324,93,2,14,6,a,a
4325,94,2,14,7,greeting,greeting
4326,95,2,14,8,gesture,gesture
4327,96,2,14,9,or,or
4328,97,2,14,10,to,to
4329,98,2,14,11,express,express
4330,99,2,14,12,"thanks,",thanks
4331,100,2,14,13,"acknowledgement,",acknowledgement
4332,101,2,14,14,or,or
4333,102,2,14,15,even,even
4334,103,2,14,16,praise,praise
4335,104,2,14,17,from,from
4336,105,2,14,18,one,one
4337,106,2,14,19,individual,individual
4338,107,2,14,20,to,to
4339,108,2,14,21,another.,another
4340,109,2,15,1,Residents,resident
4341,110,2,15,2,of,of
4342,111,2,15,3,Hawaii,hawaii
4343,112,2,15,4,use,use
4344,113,2,15,5,the,the
4345,114,2,15,6,shaka,shaka
4346,115,2,15,7,to,to
4347,116,2,15,8,convey,convey
4348,117,2,15,9,the,the
4349,118,2,15,10,"""Aloha",aloha
4350,119,2,15,11,"Spirit"":",spirit
4351,120,2,15,12,a,a
4352,121,2,15,13,concept,concept
4353,122,2,15,14,of,of
4354,123,2,15,15,"friendship,",friendship
4355,124,2,15,16,"understanding,",understanding
4356,125,2,15,17,"compassion,",compassion
4357,126,2,15,18,and,and
4358,127,2,15,19,solidarity,solidarity
4359,128,2,15,20,among,among
4360,129,2,15,21,the,the
4361,130,2,15,22,various,various
4362,131,2,15,23,ethnic,ethnic
4363,132,2,15,24,cultures,culture
4364,133,2,15,25,that,that
4365,134,2,15,26,reside,reside
4366,135,2,15,27,in,in
4367,136,2,15,28,Hawaii.,hawaii
4368,137,2,16,1,While,while
4369,138,2,16,2,the,the
4370,139,2,16,3,exact,exact
4371,140,2,16,4,origin,origin
4372,141,2,16,5,of,of
4373,142,2,16,6,the,the
4374,143,2,16,7,sign,sign
4375,144,2,16,8,is,be
4376,145,2,16,9,"unclear,",unclear
4377,146,2,16,10,some,some
4378,147,2,16,11,have,have
4379,148,2,16,12,suggested,suggest
4380,149,2,16,13,its,its
4381,150,2,16,14,origin,origin
4382,151,2,16,15,was,be
4383,152,2,16,16,derived,derive
4384,153,2,16,17,from,from
4385,154,2,16,18,Spanish,spanish
4386,155,2,16,19,"immigrants,",immigrant
4387,156,2,16,20,who,who
4388,157,2,16,21,folded,fold
4389,158,2,16,22,their,they
4390,159,2,16,23,middle,middle
4391,160,2,16,24,fingers,finger
4392,161,2,16,25,and,and
4393,162,2,16,26,took,take
4394,163,2,16,27,their,they
4395,164,2,16,28,thumbs,thumb
4396,165,2,16,29,to,to
4397,166,2,16,30,their,they
4398,167,2,16,31,lips,lip
4399,168,2,16,32,as,as
4400,169,2,16,33,a,a
4401,170,2,16,34,friendly,friendly
4402,171,2,16,35,gesture,gesture
4403,172,2,16,36,to,to
4404,173,2,16,37,represent,represent
4405,174,2,16,38,sharing,share
4406,175,2,16,39,a,a
4407,176,2,16,40,drink,drink
4408,177,2,16,41,with,with
4409,178,2,16,42,the,the
4410,179,2,16,43,natives,native
4411,180,2,16,44,they,they
4412,181,2,16,45,met,meet
4413,182,2,16,46,in,in
4414,183,2,16,47,Hawaii.,hawaii
4415,1,3,17,1,In,in
4416,2,3,17,2,competitive,competitive
4417,3,3,17,3,"sports,",sport
4418,4,3,17,4,doping,doping
4419,5,3,17,5,is,be
4420,6,3,17,6,the,the
4421,7,3,17,7,use,use
4422,8,3,17,8,of,of
4423,9,3,17,9,banned,ban
4424,10,3,17,10,performance-,performance
4425,11,3,17,11,enhancing,enhance
4426,12,3,17,12,drugs,drug
4427,13,3,17,13,by,by
4428,14,3,17,14,athletic,athletic
4429,15,3,17,15,competitors.,competitor
4430,16,3,18,1,The,the
4431,17,3,18,2,term,term
4432,18,3,18,3,doping,doping
4433,19,3,18,4,is,be
4434,20,3,18,5,widely,widely
4435,21,3,18,6,used,use
4436,22,3,18,7,by,by
4437,23,3,18,8,organizations,organization
4438,24,3,18,9,which,which
4439,25,3,18,10,regulate,regulate
4440,26,3,18,11,sporting,sport
4441,27,3,18,12,competitions.,competition
4442,28,3,19,1,The,the
4443,29,3,19,2,use,use
4444,30,3,19,3,of,of
4445,31,3,19,4,drugs,drug
4446,32,3,19,5,to,to
4447,33,3,19,6,enhance,enhance
4448,34,3,19,7,performance,performance
4449,35,3,19,8,is,be
4450,36,3,19,9,largely,largely
4451,37,3,19,10,considered,consider
4452,38,3,19,11,"unethical,",unethical
4453,39,3,19,12,and,and
4454,40,3,19,13,is,be
4455,41,3,19,14,therefore,therefore
4456,42,3,19,15,prohibited,prohibit
4457,43,3,19,16,by,by
4458,44,3,19,17,most,most
4459,45,3,19,18,international,international
4460,46,3,19,19,sports,sport
4461,47,3,19,20,"organizations,",organization
4462,48,3,19,21,including,include
4463,49,3,19,22,the,the
4464,50,3,19,23,International,international
4465,51,3,19,24,Olympic,olympic
4466,52,3,19,25,Committee.,committee
4467,53,3,20,1,"Furthermore,",furthermore
4468,54,3,20,2,athletes,athlete
4469,55,3,20,3,who,who
4470,56,3,20,4,take,take
4471,57,3,20,5,explicit,explicit
4472,58,3,20,6,measures,measure
4473,59,3,20,7,to,to
4474,60,3,20,8,evade,evade
4475,61,3,20,9,detection,detection
4476,62,3,20,10,exacerbate,exacerbate
4477,63,3,20,11,the,the
4478,64,3,20,12,ethical,ethical
4479,65,3,20,13,violation,violation
4480,66,3,20,14,with,with
4481,67,3,20,15,overt,overt
4482,68,3,20,16,deception,deception
4483,69,3,20,17,and,and
4484,70,3,20,18,cheating.,cheating
4485,71,3,21,1,Despite,despite
4486,72,3,21,2,its,its
4487,73,3,21,3,prevalence,prevalence
4488,74,3,21,4,in,in
4489,75,3,21,5,the,the
4490,76,3,21,6,headlines,headline
4491,77,3,21,7,"recently,",recently
4492,78,3,21,8,doping,doping
4493,79,3,21,9,is,be
4494,80,3,21,10,not,not
4495,81,3,21,11,a,a
4496,82,3,21,12,new,new
4497,83,3,21,13,phenomenon;,phenomenon
4498,84,3,21,14,in,in
4499,85,3,21,15,"fact,",fact
4500,86,3,21,16,it,it
4501,87,3,21,17,is,be
4502,88,3,21,18,as,as
4503,89,3,21,19,old,old
4504,90,3,21,20,as,as
4505,91,3,21,21,sport,sport
4506,92,3,21,22,itself.,itself
4507,93,3,22,1,From,from
4508,94,3,22,2,the,the
4509,95,3,22,3,use,use
4510,96,3,22,4,of,of
4511,97,3,22,5,substances,substance
4512,98,3,22,6,in,in
4513,99,3,22,7,ancient,ancient
4514,100,3,22,8,chariot,chariot
4515,101,3,22,9,races,race
4516,102,3,22,10,to,to
4517,103,3,22,11,more,more
4518,104,3,22,12,recent,recent
4519,105,3,22,13,controversies,controversy
4520,106,3,22,14,in,in
4521,107,3,22,15,baseball,baseball
4522,108,3,22,16,and,and
4523,109,3,22,17,"cycling,",cycling
4524,110,3,22,18,popular,popular
4525,111,3,22,19,views,view
4526,112,3,22,20,among,among
4527,113,3,22,21,athletes,athlete
4528,114,3,22,22,have,have
4529,115,3,22,23,varied,vary
4530,116,3,22,24,widely,widely
4531,117,3,22,25,over,over
4532,118,3,22,26,the,the
4533,119,3,22,27,years.,year
4534,120,3,23,1,In,in
4535,121,3,23,2,recent,recent
4536,122,3,23,3,"decades,",decade
4537,123,3,23,4,authorities,authority
4538,124,3,23,5,and,and
4539,125,3,23,6,sporting,sport
4540,126,3,23,7,organizations,organization
4541,127,3,23,8,have,have
4542,128,3,23,9,tried,try
4543,129,3,23,10,to,to
4544,130,3,23,11,strictly,strictly
4545,131,3,23,12,regulate,regulate
4546,132,3,23,13,the,the
4547,133,3,23,14,use,use
4548,134,3,23,15,of,of
4549,135,3,23,16,drugs,drug
4550,136,3,23,17,in,in
4551,137,3,23,18,sport.,sport
4552,138,3,24,1,The,the
4553,139,3,24,2,primary,primary
4554,140,3,24,3,reasons,reason
4555,141,3,24,4,for,for
4556,142,3,24,5,this,this
4557,143,3,24,6,ban,ban
4558,144,3,24,7,are,be
4559,145,3,24,8,the,the
4560,146,3,24,9,health,health
4561,147,3,24,10,risks,risk
4562,148,3,24,11,of,of
4563,150,3,24,13,performance-,performance
4564,151,3,24,14,enhancing,enhance
4565,152,3,24,15,"drugs,",drug
4566,153,3,24,16,the,the
4567,154,3,24,17,equality,equality
4568,155,3,24,18,of,of
4569,156,3,24,19,opportunity,opportunity
4570,157,3,24,20,for,for
4571,158,3,24,21,"athletes,",athlete
4572,159,3,24,22,and,and
4573,160,3,24,23,the,the
4574,161,3,24,24,positive,positive
4575,162,3,24,25,example,example
4576,163,3,24,26,to,to
4577,164,3,24,27,the,the
4578,165,3,24,28,public,public
4579,166,3,24,29,set,set
4580,167,3,24,30,by,by
4581,168,3,24,31,drug-,drug
4582,169,3,24,32,free,free
4583,170,3,24,33,sport.,sport
4584,171,3,25,1,Anti-,anti
4585,172,3,25,2,doping,doping
4586,173,3,25,3,authorities,authority
4587,174,3,25,4,have,have
4588,175,3,25,5,repeatedly,repeatedly
4589,176,3,25,6,emphasized,emphasize
4590,177,3,25,7,that,that
4591,178,3,25,8,using,use
4592,179,3,25,9,performance-,performance
4593,180,3,25,10,enhancing,enhancing
4594,181,3,25,11,drugs,drug
4595,182,3,25,12,goes,go
4596,183,3,25,13,against,against
4597,184,3,25,14,the,the
4598,185,3,25,15,"""spirit",spirit
4599,186,3,25,16,of,of
4600,187,3,25,17,"sport"".",sport
4601,1,4,26,1,The,the
4602,2,4,26,2,thylacine,thylacine
4603,3,4,26,3,was,be
4604,4,4,26,4,the,the
4605,5,4,26,5,largest,large
4606,6,4,26,6,known,know
4607,7,4,26,7,carnivorous,carnivorous
4608,8,4,26,8,marsupial,marsupial
4609,9,4,26,9,of,of
4610,10,4,26,10,modern,modern
4611,11,4,26,11,times.,time
4612,12,4,27,1,It,it
4613,13,4,27,2,is,be
4614,14,4,27,3,commonly,commonly
4615,15,4,27,4,known,know
4616,16,4,27,5,as,as
4617,17,4,27,6,the,the
4618,18,4,27,7,Tasmanian,tasmanian
4619,19,4,27,8,tiger,tiger
4620,20,4,27,9,because,because
4621,21,4,27,10,of,of
4622,22,4,27,11,its,its
4623,23,4,27,12,striped,strip
4624,24,4,27,13,lower,low
4625,25,4,27,14,"back,",back
4626,26,4,27,15,or,or
4627,27,4,27,16,the,the
4628,28,4,27,17,Tasmanian,tasmanian
4629,29,4,27,18,wolf,wolf
4630,30,4,27,19,because,because
4631,31,4,27,20,of,of
4632,32,4,27,21,its,its
4633,33,4,27,22,canine-,canine
4634,34,4,27,23,like,like
4635,35,4,27,24,"appearance,",appearance
4636,36,4,27,25,traits,trait
4637,37,4,27,26,and,and
4638,38,4,27,27,attributes.,attribute
4639,39,4,28,1,Native,native
4640,40,4,28,2,to,to
4641,41,4,28,3,continental,continental
4642,42,4,28,4,"Australia,",australia
4643,43,4,28,5,"Tasmania,",tasmania
4644,44,4,28,6,and,and
4645,45,4,28,7,New,new
4646,46,4,28,8,"Guinea,",guinea
4647,47,4,28,9,it,it
4648,48,4,28,10,is,be
4649,49,4,28,11,believed,believe
4650,50,4,28,12,to,to
4651,51,4,28,13,have,have
4652,52,4,28,14,become,become
4653,53,4,28,15,extinct,extinct
4654,54,4,28,16,in,in
4655,55,4,28,17,the,the
4656,56,4,28,18,twentieth,twentieth
4657,57,4,28,19,century.,century
4658,58,4,29,1,The,the
4659,59,4,29,2,thylacine,thylacine
4660,60,4,29,3,was,be
4661,61,4,29,4,one,one
4662,62,4,29,5,of,of
4663,63,4,29,6,only,only
4664,64,4,29,7,two,two
4665,65,4,29,8,marsupials,marsupial
4666,66,4,29,9,to,to
4667,67,4,29,10,have,have
4668,68,4,29,11,a,a
4669,69,4,29,12,pouch,pouch
4670,70,4,29,13,in,in
4671,71,4,29,14,both,both
4672,72,4,29,15,sexes.,sex
4673,73,4,30,1,The,the
4674,74,4,30,2,male,male
4675,75,4,30,3,had,have
4676,76,4,30,4,a,a
4677,77,4,30,5,pouch,pouch
4678,78,4,30,6,that,that
4679,79,4,30,7,protected,protect
4680,80,4,30,8,the,the
4681,81,4,30,9,external,external
4682,82,4,30,10,reproductive,reproductive
4683,83,4,30,11,organs,organ
4684,84,4,30,12,while,while
4685,85,4,30,13,running,run
4686,86,4,30,14,through,through
4687,87,4,30,15,thick,thick
4688,88,4,30,16,brush.,brush
4689,89,4,31,1,The,the
4690,90,4,31,2,thylacine,thylacine
4691,91,4,31,3,has,have
4692,92,4,31,4,been,be
4693,93,4,31,5,described,describe
4694,94,4,31,6,as,as
4695,95,4,31,7,a,a
4696,96,4,31,8,formidable,formidable
4697,97,4,31,9,predator,predator
4698,98,4,31,10,because,because
4699,99,4,31,11,of,of
4700,100,4,31,12,its,its
4701,101,4,31,13,ability,ability
4702,102,4,31,14,to,to
4703,103,4,31,15,survive,survive
4704,104,4,31,16,and,and
4705,105,4,31,17,hunt,hunt
4706,106,4,31,18,prey,prey
4707,107,4,31,19,in,in
4708,108,4,31,20,extremely,extremely
4709,109,4,31,21,sparsely,sparsely
4710,110,4,31,22,populated,populate
4711,111,4,31,23,areas.,area
4712,112,4,32,1,The,the
4713,113,4,32,2,thylacine,thylacine
4714,114,4,32,3,had,have
4715,115,4,32,4,become,become
4716,116,4,32,5,extremely,extremely
4717,117,4,32,6,rare,rare
4718,118,4,32,7,or,or
4719,119,4,32,8,extinct,extinct
4720,120,4,32,9,on,on
4721,121,4,32,10,the,the
4722,122,4,32,11,Australian,australian
4723,123,4,32,12,mainland,mainland
4724,124,4,32,13,before,before
4725,125,4,32,14,British,british
4726,126,4,32,15,settlement,settlement
4727,127,4,32,16,of,of
4728,128,4,32,17,the,the
4729,129,4,32,18,"continent,",continent
4730,130,4,32,19,but,but
4731,131,4,32,20,it,it
4732,132,4,32,21,survived,survive
4733,133,4,32,22,on,on
4734,134,4,32,23,the,the
4735,135,4,32,24,island,island
4736,136,4,32,25,of,of
4737,137,4,32,26,Tasmania.,tasmania
4738,138,4,33,1,Intensive,intensive
4739,139,4,33,2,hunting,hunting
4740,140,4,33,3,encouraged,encourage
4741,141,4,33,4,by,by
4742,142,4,33,5,bounties,bounty
4743,143,4,33,6,is,be
4744,144,4,33,7,generally,generally
4745,145,4,33,8,blamed,blame
4746,146,4,33,9,for,for
4747,147,4,33,10,its,its
4748,148,4,33,11,"extinction,",extinction
4749,149,4,33,12,but,but
4750,150,4,33,13,other,other
4751,151,4,33,14,contributing,contribute
4752,152,4,33,15,factors,factor
4753,153,4,33,16,may,may
4754,154,4,33,17,have,have
4755,155,4,33,18,included,include
4756,156,4,33,19,"disease,",disease
4757,157,4,33,20,the,the
4758,158,4,33,21,introduction,introduction
4759,159,4,33,22,of,of
4760,160,4,33,23,"dogs,",dog
4761,161,4,33,24,and,and
4762,162,4,33,25,human,human
4763,163,4,33,26,encroachment,encroachment
4764,164,4,33,27,into,into
4765,165,4,33,28,its,its
4766,166,4,33,29,habitat.,habitat
4767,167,4,34,1,Despite,despite
4768,168,4,34,2,its,its
4769,169,4,34,3,official,official
4770,170,4,34,4,classification,classification
4771,171,4,34,5,as,as
4772,172,4,34,6,"extinct,",extinct
4773,173,4,34,7,sightings,sighting
4774,174,4,34,8,are,be
4775,175,4,34,9,still,still
4776,176,4,34,10,"reported,",report
4777,177,4,34,11,though,though
4778,178,4,34,12,none,none
4779,179,4,34,13,have,have
4780,180,4,34,14,been,be
4781,181,4,34,15,conclusively,conclusively
4782,182,4,34,16,proven.,prove
4783,1,5,35,1,World,world
4784,2,5,35,2,Environment,environment
4785,3,5,35,3,Day,day
4786,4,5,35,4,(WED),wed
4787,5,5,35,5,is,be
4788,6,5,35,6,celebrated,celebrate
4789,7,5,35,7,on,on
4790,8,5,35,8,the,the
4791,9,5,35,9,fifth,fifth
4792,10,5,35,10,of,of
4793,11,5,35,11,June,june
4794,12,5,35,12,every,every
4795,13,5,35,13,year,year
4796,14,5,35,14,and,and
4797,15,5,35,15,is,be
4798,16,5,35,16,the,the
4799,17,5,35,17,United,unite
4800,18,5,35,18,Nation's,nation
4801,19,5,35,19,principal,principal
4802,20,5,35,20,vehicle,vehicle
4803,21,5,35,21,for,for
4804,22,5,35,22,encouraging,encourage
4805,23,5,35,23,awareness,awareness
4806,24,5,35,24,and,and
4807,25,5,35,25,action,action
4808,26,5,35,26,for,for
4809,27,5,35,27,the,the
4810,28,5,35,28,protection,protection
4811,29,5,35,29,of,of
4812,30,5,35,30,the,the
4813,31,5,35,31,environment.,environment
4814,32,5,36,1,First,first
4815,33,5,36,2,held,hold
4816,34,5,36,3,in,in
4817,35,5,36,4,"1974,",1974
4818,36,5,36,5,it,it
4819,37,5,36,6,has,have
4820,38,5,36,7,been,be
4821,39,5,36,8,a,a
4822,40,5,36,9,flagship,flagship
4823,41,5,36,10,campaign,campaign
4824,42,5,36,11,for,for
4825,43,5,36,12,raising,raise
4826,44,5,36,13,awareness,awareness
4827,45,5,36,14,on,on
4828,46,5,36,15,emerging,emerge
4829,47,5,36,16,environmental,environmental
4830,48,5,36,17,issues,issue
4831,49,5,36,18,from,from
4832,50,5,36,19,marine,marine
4833,51,5,36,20,"pollution,",pollution
4834,52,5,36,21,human,human
4835,53,5,36,22,"overpopulation,",overpopulation
4836,54,5,36,23,and,and
4837,55,5,36,24,global,global
4838,56,5,36,25,warming.,warming
4839,57,5,37,1,WED,wed
4840,58,5,37,2,has,have
4841,59,5,37,3,grown,grow
4842,60,5,37,4,to,to
4843,61,5,37,5,become,become
4844,62,5,37,6,a,a
4845,63,5,37,7,global,global
4846,64,5,37,8,platform,platform
4847,65,5,37,9,for,for
4848,66,5,37,10,public,public
4849,67,5,37,11,"outreach,",outreach
4850,68,5,37,12,with,with
4851,69,5,37,13,participation,participation
4852,70,5,37,14,from,from
4853,71,5,37,15,over,over
4854,72,5,37,16,one,one
4855,73,5,37,17,hundred,hundred
4856,74,5,37,18,countries,country
4857,75,5,37,19,annually.,annually
4858,76,5,38,1,Each,each
4859,77,5,38,2,"year,",year
4860,78,5,38,3,WED,wed
4861,79,5,38,4,chooses,choose
4862,80,5,38,5,a,a
4863,81,5,38,6,new,new
4864,82,5,38,7,theme,theme
4865,83,5,38,8,that,that
4866,84,5,38,9,major,major
4867,85,5,38,10,"corporations,",corporation
4868,86,5,38,11,non-,non
4869,87,5,38,12,governmental,governmental
4870,88,5,38,13,"organizations,",organization
4871,89,5,38,14,"communities,",community
4872,90,5,38,15,governments,government
4873,91,5,38,16,and,and
4874,92,5,38,17,celebrities,celebrity
4875,93,5,38,18,worldwide,worldwide
4876,94,5,38,19,adopt,adopt
4877,95,5,38,20,to,to
4878,96,5,38,21,advocate,advocate
4879,97,5,38,22,environmental,environmental
4880,98,5,38,23,causes.,cause
4881,99,5,39,1,For,for
4882,100,5,39,2,"example,",example
4883,101,5,39,3,the,the
4884,102,5,39,4,theme,theme
